main(50, 0.9, 0.4)
104: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
105: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
106: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
107: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
108: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
109: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
110: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
111: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
112: Viorest: 1.9345e-12, aptitud: 1000.00000000000000000000, vector: 0.113340015336270150000.083264552322614330000.147596554231062190000.147596554232996670004.98546745810840260000
113: Viorest: 1.9345e-12, aptitud: 1000.00000000000000000000, vector: 0.113340015336270150000.083264552322614330000.147596554231062190000.147596554232996670004.98546745810840260000
114: Viorest: 1.9345e-12, aptitud: 1000.00000000000000000000, vector: 0.113340015336270150000.083264552322614330000.147596554231062190000.147596554232996670004.98546745810840260000
115: Viorest: 1.9345e-12, aptitud: 1000.00000000000000000000, vector: 0.113340015336270150000.083264552322614330000.147596554231062190000.147596554232996670004.98546745810840260000
116: Viorest: 7.7205e-13, aptitud: 1000.00000000000000000000, vector: 0.22354340814827048000 0.21601630023458121000 0.24741273035815259000 0.24741273035892464000-6.94496118302575380000
117: Viorest: 4.2641e-13, aptitud: 1000.00000000000000000000, vector: 0.16761987806054968000 0.13368149708445967000 0.18922320049650518000 0.1892232004969315900012.79740054965402300000
118: Viorest: 4.2641e-13, aptitud: 1000.00000000000000000000, vector: 0.16761987806054968000 0.13368149708445967000 0.18922320049650518000 0.1892232004969315900012.79740054965402300000
119: Viorest: 4.2641e-13, aptitud: 1000.00000000000000000000, vector: 0.16761987806054968000 0.13368149708445967000 0.18922320049650518000 0.1892232004969315900012.79740054965402300000
120: Viorest: 4.2641e-13, aptitud: 1000.00000000000000000000, vector: 0.16761987806054968000 0.13368149708445967000 0.18922320049650518000 0.1892232004969315900012.79740054965402300000
