main( 50, .9, .4)
123: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.48387696702620631000  0.16096332963185411000  0.48387696702620625000  0.31674263251902357000-24.47643285276706800000
124: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.48387696702620631000  0.16096332963185411000  0.48387696702620625000  0.31674263251902357000-24.47643285276706800000
125: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.48387696702620631000  0.16096332963185411000  0.48387696702620625000  0.31674263251902357000-24.47643285276706800000
126: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.48387696702620631000  0.16096332963185411000  0.48387696702620625000  0.31674263251902357000-24.47643285276706800000
127: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.48387696702620631000  0.16096332963185411000  0.48387696702620625000  0.31674263251902357000-24.47643285276706800000
128: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.48387696702620631000  0.16096332963185411000  0.48387696702620625000  0.31674263251902357000-24.47643285276706800000
129: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.47718677554115152000  0.10466735266209315000  0.47718677554115146000  0.24959669661081654000-44.69405124866210600000
130: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
131: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
132: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
133: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
134: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
135: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
136: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
137: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
138: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49570197092042723000 0.16956413549216912000 0.49570197092042717000 0.4243418052617838900011.39351265014565200000
